Number,Family,MaxAge,Year,Class,UMAP_1,UMAP_2,geo_1,geo_2,Scaled_Rad_1,Scaled_Rad_2,Cluster
16592,PINACEAE,85.0,1893,Pinopsida,2.4277830123901367,9.054821014404297,5.40778444158741,-0.3062959949443211,-0.2935661446562,0.9035036904803962,0
16592,PINACEAE,85.0,1893,Pinopsida,2.4277830123901367,9.054821014404297,4.468536316943073,1.5478299518208587,-0.7685661446562002,0.5583959896778498,0
605-2,NYSSACEAE,98.0,1893,Monocot,2.348820447921753,8.87984848022461,2.241858141842158,4.528160838749955,-0.9500000000000004,1.163414459189986e-16,0
16592,PINACEAE,85.0,1893,Pinopsida,2.4277830123901367,9.054821014404297,5.418776184972785,-0.2698546217657167,-0.7685661446562003,-0.5583959896778495,0
605-2,NYSSACEAE,98.0,1893,Monocot,2.348820447921753,8.87984848022461,2.574805315291087,4.03290213694936,-0.2935661446562003,-0.903503690480396,0
605-2,NYSSACEAE,98.0,1893,Monocot,2.348820447921753,8.87984848022461,2.4728918813466407,4.158082876142998,0.2935661446561999,-0.9035036904803962,0
3839,ROSACEAE,116.0,1893,Eudicot,2.579262971878052,8.641098022460938,0.2949710653012971,2.6859456472157035,0.7685661446562002,-0.5583959896778498,7
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,5.003458216836407,0.0640614835974702,1.0000000000000002,0.0,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.986523185121996,0.0691156568414044,0.9135454576426012,0.4067366430758002,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.543901749470479,1.335949750085092,0.6691306063588585,0.7431448254773942,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.990361068254515,0.0582786929994654,0.3090169943749475,0.9510565162951538,0
16568,PINACEAE,44.0,1894,Pinopsida,2.5663790702819824,9.132776260375977,4.948904145243432,0.1612774984191674,-0.1045284632676533,0.9945218953682736,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.52133340124783,1.3963983523285606,-0.4999999999999999,0.866025403784439,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.522947657374971,1.399860597950919,-0.8090169943749476,0.5877852522924734,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.430520801535749,1.3531840643654505,-0.9781476007338058,0.2079116908177598,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.451162038425082,1.3093263269693125,-0.978147600733806,-0.2079116908177591,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.509026800821857,1.3800303498337598,-0.8090169943749477,-0.5877852522924731,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.527180093706193,1.361373318241931,-0.5000000000000006,-0.8660254037844386,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.537314008220164,1.3380219198302257,-0.1045284632676542,-0.9945218953682736,0
1098,PINACEAE,103.0,1894,Pinopsida,2.676856279373169,9.063050270080566,4.939568468132165,0.7387776651034983,0.3090169943749473,-0.951056516295154,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.993135435783188,0.0399270653956591,0.6691306063588579,-0.7431448254773948,0
16485,PINACEAE,44.0,1894,Pinopsida,2.1644060611724854,9.144195556640623,4.967870092792964,0.0692439715357977,0.9135454576426008,-0.406736643075801,0
1412-6,PINACEAE,103.0,1895,Pinopsida,2.4135003089904785,8.503507614135742,5.073496940558698,0.0500297840339953,1.0500000000000005,0.0,7
4119,ULMACEAE,53.0,1895,Eudicot,2.149458169937134,9.078588485717772,2.581961097858993,2.5115055722230863,0.9931081037856666,0.3409344426649177,0
4119,ULMACEAE,53.0,1895,Eudicot,2.149458169937134,9.078588485717772,2.550997560502765,2.5146290220300216,0.8285975348662136,0.6449233483241513,0
4119,ULMACEAE,53.0,1895,Eudicot,2.149458169937134,9.078588485717772,2.608671053502804,2.5356790101018305,0.5742955660285485,0.8790248021756552,0
12448,PINACEAE,43.0,1895,Pinopsida,2.0597403049468994,8.705306053161621,4.672190657900046,1.249280302680745,0.2577597614978392,1.0178702792362972,7
4119,ULMACEAE,53.0,1895,Eudicot,2.149458169937134,9.078588485717772,2.577157736751815,2.577530611039037,-0.0867083127459489,1.0464137176570036,0
12414,PINACEAE,95.0,1895,Pinopsida,2.4992001056671143,7.479894161224365,4.802425420142527,0.2253189121138348,-0.4217801958856178,0.9615619929878106,9
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.23375744557552,0.9205883312420156,-0.7111456502070281,0.7725101062067885,0
4119,ULMACEAE,53.0,1895,Eudicot,2.149458169937134,9.078588485717772,2.452644717099247,2.537617987697104,-0.9234474387668136,0.4997447626889275,0
16505,PINACEAE,77.0,1895,Pinopsida,2.4391510486602783,9.236176490783691,4.719862875472245,1.1738612775729962,-1.0356793685728587,0.1728243197947707,0
16505,PINACEAE,77.0,1895,Pinopsida,2.4391510486602783,9.236176490783691,4.704261923849799,1.0908034010708434,-1.035679368572859,-0.1728243197947705,0
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.2868274972402105,0.9286241327772586,-0.9234474387668138,-0.4997447626889273,0
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.280788093655701,0.9897281904986812,-0.7111456502070287,-0.7725101062067881,0
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.288509034068056,1.0051207011615588,-0.4217801958856185,-0.9615619929878104,0
4119,ULMACEAE,53.0,1895,Eudicot,2.149458169937134,9.078588485717772,2.462641667354092,2.4830260883095434,-0.0867083127459494,-1.0464137176570036,0
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.891075906647984,0.2357521724102298,0.2577597614978387,-1.0178702792362972,0
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.865411685242179,0.2207442306225857,0.574295566028548,-0.8790248021756555,0
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.907012300572205,0.2353638516137834,0.8285975348662133,-0.6449233483241517,0
16511,PINACEAE,99.0,1895,Pinopsida,2.1567068099975586,9.1345853805542,4.7242769696968026,1.0435547039901394,0.9931081037856666,-0.340934442664918,0
3626,ROSACEAE,84.0,1896,Eudicot,2.2998147010803223,8.988758087158203,5.078545395614356,-0.9125611645008576,1.1000000000000003,0.0,0
17571,PINACEAE,104.0,1897,Pinopsida,2.267015218734741,9.171496391296388,4.40921781094562,1.4468507896822302,1.1500000000000004,0.0,0
